题目,A,B,C,D,答案,解析
习近平总书记指出，全面深化改革总目标是_____,实现社会主义现代化,实现中国梦,全面建立社会主义市场经济体制,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,D,习近平总书记指出，全面深化改革总目标是完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化
____是决定当代中国命运的关键一招，也是实现“两个一百年”奋斗目标、实现中华民族伟大复兴的关键一招。,市场经济,改革开放,党的领导,依法治国,B,改革开放是决定当代中国命运的关键一招，也是实现“两个一百年”奋斗目标、实现中华民族伟大复兴的关键一招。
关于坚持全面依法治国，以下理解不正确的是____,坚持依法治国、依法执政、依法行政共同推进,坚持法治国家、法治政府、法治社会一体建设,坚持依法治国和以德治国相结合,坚持依法立法和依惯例立法相结合,D,关于坚持全面依法治国，以下理解不正确的是坚持依法立法和依惯例立法相结合
党的十九大指出，发挥市场在资源配置中的______作用，更好发挥政府作用，建立完善的宏观调控体系,基础性,关键性,决定性,支柱性,C,党的十九大指出，发挥市场在资源配置中的决定性作用，更好发挥政府作用，建立完善的宏观调控体系
习近平总书记在徐州考察时强调，必须始终高度重视发展壮大实体经济，抓实体经济一定要抓好____,高科技产业,装备制造业,核心技术攻关,制造业,D,习近平总书记在徐州考察时强调，必须始终高度重视发展壮大实体经济，抓实体经济一定要抓好制造业
建设现代化经济体系，必须把发展经济的着力点放在___上，增强我国经济质量优势,实体经济,共享经济,虚拟经济,国民经济,A,建设现代化经济体系，必须把发展经济的着力点放在实体经济上，增强我国经济质量优势
经过40年的改革开放，我国经济正在实现从引进来到____的重大转变,走出去,引进来和走出去并重,以引进来为主走出去为辅,以走出去为主引进来为辅,B,经过40年的改革开放，我国经济正在实现从引进来到引进来和走出去并重的重大转变
新常态下我国经济发展的增长速度要从___，发展方式要从规模速度型转向质量效率型,高速增长转向中高速,高速增长转向中速,中高速增长转向中速,中高速增长转向低速,A,新常态下我国经济发展的增长速度要从高速增长转向中高速，发展方式要从规模速度型转向质量效率型
习近平总书记指出，实施____是新时代做好“三农”工作的总抓手,科教兴农战略,创新驱动发展战略,区域协调发展战略,乡村振兴战略,D,习近平总书记指出，实施乡村振兴战略是新时代做好“三农”工作的总抓手
实施乡村振兴战略，必须加强农村基层基础工作，健全____的乡村治理体系,民主、法治相结合,自治、法治、德治相结合,自治、法治、民主相结合,法治、德治相结合,B,实施乡村振兴战略，必须加强农村基层基础工作，健全自治、法治、德治相结合的乡村治理体系
党的十九大报告指出，深化农村土地制度改革，完善_____制度,承包地“三权”分置,适度规模经营,农业社会化服务,国家粮食安全,A,党的十九大报告指出，深化农村土地制度改革，完善承包地“三权”分置制度
城镇化是现代化的必由之路，要推进以______为核心的新型城镇化,人,科技,管理,创新,A,城镇化是现代化的必由之路，要推进以人为核心的新型城镇化
党的十九大报告指出，坚持______，推动形成陆海内外联动、东西双向互济的开放格局,双向开放,全面开放,公平开放,共赢开放,B,党的十九大报告指出，坚持全面开放，推动形成陆海内外联动、东西双向互济的开放格局
走中国特色社会主义政治发展道路，必须坚持党的领导、人民当家作主、依法治国有机统一。_______是社会主义民主政治的本质特征,党的领导,人民当家作主,依法治国,政治体制改革,B,走中国特色社会主义政治发展道路，必须坚持党的领导、人民当家作主、依法治国有机统一。人民当家作主是社会主义民主政治的本质特征
____是我们党和国家的根本组织制度和领导制度,民主集中制,人民代表大会制度,人民民主专政,巡视制度,A,民主集中制是我们党和国家的根本组织制度和领导制度
习近平总书记指出，新时代多党合作舞台极为广阔，要用好______这个民主形式和制度渠道，有事多商量、有事好商量、有事会商量，通过协商凝聚共识、凝聚智慧、凝聚力量,人大协商,政党协商,政府协商,人民团体协商,B,习近平总书记指出，新时代多党合作舞台极为广阔，要用好政党协商这个民主形式和制度渠道，有事多商量、有事好商量、有事会商量，通过协商凝聚共识、凝聚智慧、凝聚力量
______是社会主义协商民主健康有序发展的根本保证,狠抓机制落实,中国共产党的领导,发展生产力,独立自主,B,中国共产党的领导是社会主义协商民主健康有序发展的根本保证
_____是具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构,政党协商,人大协商,基层协商,人民政协,D,人民政协是具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构
关于深化机构和行政体制改革，以下说法不正确的是_____,赋予省级及以下政府更多自主权,深化简政放权，建设人民满意的服务型政府,在省市县对职能相近的党政机关全面实行合署办公,,C,关于深化机构和行政体制改革，不正确的是在省市县对职能相近的党政机关全面实行合署办公
坚持不移走中国特色社会主义法治道路，关键是______,发展生产力,加强党性教育,坚持党的领导,保障人民权益,C,坚持不移走中国特色社会主义法治道路，关键是坚持党的领导
习近平总书记强调，宣传思想工作的根本任务，就是要巩固_____在意识形态领域的指导地位，巩固全党全国人民团结奋斗的共同思想基础,社会主义核心价值观,马克思主义,中华文化,社会主义先进文化,B,习近平总书记强调，宣传思想工作的根本任务，就是要巩固马克思主义在意识形态领域的指导地位，巩固全党全国人民团结奋斗的共同思想基础
习近平总书记强调，“意识形态工作是党的一项________的工作”,极端重要,十分重要,不可或缺,影响深远,A,习近平总书记强调，“意识形态工作是党的一项极端重要的工作”
中华优秀传统文化是中华民族的根和魂，对中华文化要____,坚持突出本来、防范外来、面向未来,促进百花齐放、百家争鸣,实现创造性转化、创新性发展,坚持全面继承和发展,C,中华优秀传统文化是中华民族的根和魂，对中华文化要实现创造性转化、创新性发展
习近平总书记指出：“______是社会主义文艺的灵魂。”,时代精神,中国精神,爱国主义,为人民服务,B,习近平总书记指出：“中国精神是社会主义文艺的灵魂。”
近平总书记指出，社会主义文艺必须坚持以______为中心的创作导向,社会效益,市场效益,人民,受众,C,近平总书记指出，社会主义文艺必须坚持以人民为中心的创作导向
中国共产党领导人民构建社会主义和谐社会，加强和创新社会_____,管理,治理,管控,监管,B,中国共产党领导人民构建社会主义和谐社会，加强和创新社会治理
党的十九大报告强调，____以药养医，健全药品供应保障制度,逐步取消,严格限制,全面取消,严厉打击,C,党的十九大报告强调，全面取消以药养医，健全药品供应保障制度
党的十九大报告强调，积极应对人口老龄化，构建____政策体系和社会环境,养老、孝老、敬老,综合养老,医养结合,老龄事业和产业协调发展,A,党的十九大报告强调，积极应对人口老龄化，构建养老、孝老、敬老政策体系和社会环境
党支部要担负好直接__________和组织群众、宣传群众、凝聚群众、服务群众的职责，引导广大党员发挥先锋模范作用,宣传党员、管理党员、监督党员,教育党员、管理党员、监督党员,组织党员、宣传党员、服务党员,处罚党员、开除党员、警告党员,B,党支部要担负好直接教育党员、管理党员、监督党员和组织群众、宣传群众、凝聚群众、服务群众的职责，引导广大党员发挥先锋模范作用
习近平总书记在全国党校工作会议上指出，我们干事业不能忘本忘祖忘记初心，我们共产党人的本就是对马克思主义的信仰，对___的信念，对党和人民的忠诚,中国特色社会主义,共产主义,社会主义,社会主义和共产主义,D,习近平总书记在全国党校工作会议上指出，我们干事业不能忘本忘祖忘记初心，我们共产党人的本就是对马克思主义的信仰，对社会主义和共产主义的信念，对党和人民的忠诚
党内严格禁止用违反_____ 的手段对待党员，严格禁止打击报复和诬告陷害,规章,道德,党章和国家法律,政策,C,党内严格禁止用违反党章和国家法律的手段对待党员，严格禁止打击报复和诬告陷害
党的政治建设的首要任务是_____,保证党的先进性和纯洁性,坚定理想信念,保证全党服从中央，坚持党中央权威和集中统一领导,确保全体党员对党绝对忠诚,C,党的政治建设的首要任务是保证全党服从中央，坚持党中央权威和集中统一领导
习近平总书记强调，我们实行的民主集中制，是又有集中又有民主、又有纪律又有自由、_____生动活泼的制度，是民主和集中紧密结合的制度,又有统一意志又有个人心情舒畅,又有协调一致又有个人畅所欲言,又有团结一致又有个人积极作为,又有合作一致又有个人积极作为,A,习近平总书记强调，我们实行的民主集中制，是又有集中又有民主、又有纪律又有自由、又有统一意志又有个人心情舒畅生动活泼的制度，是民主和集中紧密结合的制度
